Player,H_T,Pitcher,P_T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Ketel Marte,S,Tanner Banks,L,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHW,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=banks-000tan&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Tanner Banks,L,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,CHW,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=banks-000tan&year_min=2022&year_max=2022&seasons_type=forall
Jorge Polanco,S,Tanner Banks,L,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,CHW,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=banks-000tan&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Tanner Banks,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHW,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=banks-000tan&year_min=2022&year_max=2022&seasons_type=forall
Sean Murphy,R,Yusei Kikuchi,L,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,TOR,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=kikuch000yus&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Yusei Kikuchi,L,5,5,1,0,0,0,0,0,3,0.2,0.2,0.2,0.4,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=kikuch000yus&year_min=2022&year_max=2022&seasons_type=forall
Jorge Polanco,S,Yusei Kikuchi,L,2,2,1,0,0,0,0,0,1,0.5,0.5,0.5,1,0,0,0,0,0,TOR,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=kikuch000yus&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Yusei Kikuchi,L,9,7,1,0,0,1,2,2,1,0.14299999999999999,0.33300000000000002,0.57099999999999995,0.90500000000000003,0,0,0,0,1,TOR,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=kikuch000yus&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,R,Kris Bubic,L,6,5,2,1,0,0,0,1,1,0.4,0.5,0.6,1.1000000000000001,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=bubic-000kri&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Kris Bubic,L,6,6,1,0,0,0,0,0,0,0.16700000000000001,0.16700000000000001,0.16700000000000001,0.33300000000000002,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=bubic-000kri&year_min=2022&year_max=2022&seasons_type=forall
Thairo Estrada,R,Kris Bubic,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=bubic-000kri&year_min=2022&year_max=2022&seasons_type=forall
Jorge Polanco,S,Kris Bubic,L,3,2,1,0,0,0,1,0,0,0.5,0.33300000000000002,0.5,0.83299999999999996,0,1,0,0,0,"",versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=bubic-000kri&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,R,Michael King,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=king--000mik&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Michael King,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=king--000mik&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Michael King,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=king--000mik&year_min=2022&year_max=2022&seasons_type=forall
Jose Abreu,R,Jason Adam,R,2,2,1,0,0,0,0,0,1,0.5,0.5,0.5,1,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=adam--001jas&year_min=2022&year_max=2022&seasons_type=forall
Sean Murphy,R,Jason Adam,R,1,1,1,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=adam--001jas&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Jason Adam,R,2,2,1,0,0,1,1,0,1,0.5,0.5,2,2.5,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=adam--001jas&year_min=2022&year_max=2022&seasons_type=forall
Randy Arozarena,R,Nick Lodolo,L,3,3,2,1,0,1,1,0,1,0.66700000000000004,0.66700000000000004,2,2.6669999999999998,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Christopher Morel,R,Nick Lodolo,L,4,3,1,0,0,0,0,1,1,0.33300000000000002,0.5,0.33300000000000002,0.83299999999999996,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=morel-000chr&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Pete Alonso,R,Nick Lodolo,L,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Nick Castellanos,R,Nick Lodolo,L,5,5,1,0,0,0,0,0,2,0.2,0.2,0.2,0.4,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Brandon Nimmo,L,Nick Lodolo,L,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Jeff McNeil,L,Nick Lodolo,L,2,1,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Adley Rutschman,S,Nick Lodolo,L,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=lodolo000nic&year_min=2022&year_max=2022&seasons_type=forall
Sean Murphy,R,Carl Edwards Jr.,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
Ketel Marte,S,Carl Edwards Jr.,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
Dansby Swanson,R,Carl Edwards Jr.,R,6,5,0,0,0,0,0,1,1,0,0.16700000000000001,0,0.16700000000000001,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
Juan Soto,L,Carl Edwards Jr.,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
Pete Alonso,R,Carl Edwards Jr.,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
Nick Castellanos,R,Carl Edwards Jr.,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=edward000car&year_min=2022&year_max=2022&seasons_type=forall
