Player,H_T,Pitcher,P_T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Elly de la Cruz,S,Anthony DeSclafani,R,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=delacr000ell&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Dansby Swanson,R,Anthony DeSclafani,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Anthony DeSclafani,R,3,2,1,1,0,0,1,1,1,0.5,0.667,1,1.667,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Christopher Morel,R,Anthony DeSclafani,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=morel-000chr&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Anthony DeSclafani,R,4,3,1,0,0,1,2,0,2,0.333,0.5,1.333,1.833,0,0,0,1,0,MIN,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Anthony DeSclafani,R,5,4,2,0,0,1,1,0,0,0.5,0.5,1.25,1.75,1,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Anthony DeSclafani,R,5,5,1,0,0,0,0,0,1,0.2,0.2,0.2,0.4,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=descla001ant&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Zack Wheeler,R,5,5,1,1,0,0,0,0,3,0.2,0.2,0.4,0.6,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Zack Wheeler,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Zack Wheeler,R,3,2,1,0,0,0,0,1,1,0.5,0.667,0.5,1.167,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Zack Wheeler,R,6,5,0,0,0,0,0,1,1,0,0.167,0,0.167,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Thairo Estrada,R,Zack Wheeler,R,3,3,1,0,0,0,1,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Zack Wheeler,R,6,6,1,0,0,0,2,0,2,0.167,0.167,0.167,0.333,0,0,0,0,1,PHI,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Zack Wheeler,R,8,8,3,0,1,0,3,0,1,0.375,0.375,0.625,1,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Zack Wheeler,R,7,7,2,0,0,0,0,0,2,0.286,0.286,0.286,0.571,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=wheele001zac&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Mitch Keller,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Mitch Keller,R,6,6,3,0,0,1,1,0,1,0.5,0.5,1,1.5,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Elly de la Cruz,S,Mitch Keller,R,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=delacr000ell&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Dansby Swanson,R,Mitch Keller,R,6,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Mitch Keller,R,3,2,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Christopher Morel,R,Mitch Keller,R,3,3,1,0,0,1,1,0,0,0.333,0.333,1.333,1.667,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=morel-000chr&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Jorge Polanco,S,Mitch Keller,R,3,2,1,0,0,0,0,1,1,0.5,0.667,0.5,1.167,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Mitch Keller,R,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Mitch Keller,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Mitch Keller,R,3,3,1,0,0,1,1,0,0,0.333,0.333,1.333,1.667,0,0,0,0,0,PIT,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=keller000mit&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Zach Eflin,R,9,8,1,0,0,1,2,1,2,0.125,0.222,0.5,0.722,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Zach Eflin,R,3,3,1,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Dansby Swanson,R,Zach Eflin,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Zach Eflin,R,3,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Jorge Polanco,S,Zach Eflin,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Zach Eflin,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Robert Suarez,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=suarez002rob&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Robert Suarez,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=suarez002rob&year_min=2023&year_max=2023&seasons_type=forall
Thairo Estrada,R,Robert Suarez,R,2,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=suarez002rob&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Jacob deGrom,R,3,2,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=degrom001jac&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Jacob deGrom,R,2,2,1,1,0,0,0,0,1,0.5,0.5,1,1.5,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=degrom001jac&year_min=2023&year_max=2023&seasons_type=forall
Adley Rutschman,S,Yunior Marté,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=rutsch000adl&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Yunior Marté,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Yunior Marté,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Yunior Marté,R,3,3,1,1,0,0,0,0,0,0.333,0.333,0.667,1,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Dansby Swanson,R,Yunior Marté,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Randy Arozarena,R,Yunior Marté,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=arroza000ran&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Christopher Morel,R,Yunior Marté,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=morel-000chr&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Jorge Polanco,S,Yunior Marté,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=polanc001jor&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Yunior Marté,R,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,PHI,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=marte-000yun&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Julian Merryweather,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Elly de la Cruz,S,Julian Merryweather,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CHC,versus-finder.cgi?request=1&player_id1=delacr000ell&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Julian Merryweather,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Thairo Estrada,R,Julian Merryweather,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Julian Merryweather,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Brandon Nimmo,L,Julian Merryweather,R,2,2,2,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=nimmo-000bra&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Jeff McNeil,L,Julian Merryweather,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=mcneil000jef&player_id2=merryw000jul&year_min=2023&year_max=2023&seasons_type=forall
Sean Murphy,R,Joel Payamps,R,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=murphy006sea&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Jose Abreu,R,Joel Payamps,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=abreu-009jos&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Ketel Marte,S,Joel Payamps,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=marte-000ket&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Elly de la Cruz,S,Joel Payamps,R,2,2,1,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=delacr000ell&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Dansby Swanson,R,Joel Payamps,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=swanso001dan&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Juan Soto,L,Joel Payamps,R,1,1,1,0,0,1,2,0,0,1,1,4,5,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=soto--003jua&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Christopher Morel,R,Joel Payamps,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=morel-000chr&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Thairo Estrada,R,Joel Payamps,R,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=estrad000tha&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Pete Alonso,R,Joel Payamps,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=alonso000pet&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,R,Joel Payamps,R,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=payamp000joe&year_min=2023&year_max=2023&seasons_type=forall
